County,County Code,Year,Underlying Cause of death Code,Multiple Cause of death Code,Deaths,Population,Crude Rate,Total Deaths by County and Year,Crude Rate by County and Year
"Contra Costa County, CA",6013,2019,accidental,Unspecified,43,1153526,3.73,347,30.08
"Contra Costa County, CA",6013,2019,accidental,Heroin,19,1153526,1.65,347,30.08
"Contra Costa County, CA",6013,2019,accidental,Other opiods,12,1153526,1.04,347,30.08
"Contra Costa County, CA",6013,2019,accidental,Synthetic opioids,30,1153526,2.6,347,30.08
"Contra Costa County, CA",6013,2019,accidental,Cocaine,13,1153526,1.13,347,30.08
"Contra Costa County, CA",6013,2019,accidental,Sedatives,13,1153526,1.13,347,30.08
"Contra Costa County, CA",6013,2019,accidental,Psychostimulants,44,1153526,3.81,347,30.08
"Contra Costa County, CA",6013,2019,accidental,Unspecified,76,1153526,6.59,347,30.08
"Contra Costa County, CA",6013,2020,accidental,Psychostimulants,44,1152333,3.82,494,42.87
"Contra Costa County, CA",6013,2020,accidental,Unspecified,45,1152333,3.91,494,42.87
"Contra Costa County, CA",6013,2020,accidental,Heroin,11,1152333,0.95,494,42.87
"Contra Costa County, CA",6013,2020,accidental,Synthetic opioids,50,1152333,4.34,494,42.87
"Contra Costa County, CA",6013,2020,accidental,Cocaine,20,1152333,1.74,494,42.87
"Contra Costa County, CA",6013,2020,accidental,Unspecified,72,1152333,6.25,494,42.87
"Contra Costa County, CA",6013,2020,accidental,Other opiods,14,1152333,1.21,494,42.87
"Contra Costa County, CA",6013,2020,accidental,Synthetic opioids,57,1152333,4.95,494,42.87
"Contra Costa County, CA",6013,2020,accidental,Cocaine,12,1152333,1.04,494,42.87
"Contra Costa County, CA",6013,2020,accidental,Sedatives,10,1152333,0.87,494,42.87
"Contra Costa County, CA",6013,2020,accidental,Psychostimulants,53,1152333,4.6,494,42.87
"Contra Costa County, CA",6013,2020,accidental,Unspecified,106,1152333,9.2,494,42.87
"Contra Costa County, CA",6013,2021,accidental,Psychostimulants,33,1161413,2.84,595,51.23
"Contra Costa County, CA",6013,2021,accidental,Unspecified,33,1161413,2.84,595,51.23
"Contra Costa County, CA",6013,2021,accidental,Synthetic opioids,56,1161413,4.82,595,51.23
"Contra Costa County, CA",6013,2021,accidental,Cocaine,17,1161413,1.46,595,51.23
"Contra Costa County, CA",6013,2021,accidental,Unspecified,67,1161413,5.77,595,51.23
"Contra Costa County, CA",6013,2021,accidental,Synthetic opioids,101,1161413,8.7,595,51.23
"Contra Costa County, CA",6013,2021,accidental,Cocaine,23,1161413,1.98,595,51.23
"Contra Costa County, CA",6013,2021,accidental,Sedatives,13,1161413,1.12,595,51.23
"Contra Costa County, CA",6013,2021,accidental,Psychostimulants,101,1161413,8.7,595,51.23
"Contra Costa County, CA",6013,2021,accidental,Unspecified,151,1161413,13.0,595,51.23
"Contra Costa County, CA",6013,2022,accidental,Psychostimulants,38,1156966,3.28,566,48.92
"Contra Costa County, CA",6013,2022,accidental,Unspecified,40,1156966,3.46,566,48.92
"Contra Costa County, CA",6013,2022,accidental,Synthetic opioids,65,1156966,5.62,566,48.92
"Contra Costa County, CA",6013,2022,accidental,Cocaine,33,1156966,2.85,566,48.92
"Contra Costa County, CA",6013,2022,accidental,Unspecified,80,1156966,6.91,566,48.92
"Contra Costa County, CA",6013,2022,accidental,Synthetic opioids,88,1156966,7.61,566,48.92
"Contra Costa County, CA",6013,2022,accidental,Cocaine,12,1156966,1.04,566,48.92
"Contra Costa County, CA",6013,2022,accidental,Psychostimulants,87,1156966,7.52,566,48.92
"Contra Costa County, CA",6013,2022,accidental,Unspecified,112,1156966,9.68,566,48.92
"Contra Costa County, CA",6013,2022,intentional,Unspecified,11,1156966,0.95,566,48.92
"Contra Costa County, CA",6013,2023,accidental,Psychostimulants,43,1155025,3.72,629,54.46
"Contra Costa County, CA",6013,2023,accidental,Unspecified,45,1155025,3.9,629,54.46
"Contra Costa County, CA",6013,2023,accidental,Synthetic opioids,62,1155025,5.37,629,54.46
"Contra Costa County, CA",6013,2023,accidental,Cocaine,25,1155025,2.16,629,54.46
"Contra Costa County, CA",6013,2023,accidental,Unspecified,79,1155025,6.84,629,54.46
"Contra Costa County, CA",6013,2023,accidental,Other opiods,10,1155025,0.87,629,54.46
"Contra Costa County, CA",6013,2023,accidental,Synthetic opioids,97,1155025,8.4,629,54.46
"Contra Costa County, CA",6013,2023,accidental,Cocaine,19,1155025,1.64,629,54.46
"Contra Costa County, CA",6013,2023,accidental,Sedatives,11,1155025,0.95,629,54.46
"Contra Costa County, CA",6013,2023,accidental,Psychostimulants,96,1155025,8.31,629,54.46
"Contra Costa County, CA",6013,2023,accidental,Unspecified,128,1155025,11.08,629,54.46
"Contra Costa County, CA",6013,2023,intentional,Unspecified,14,1155025,1.21,629,54.46
"Del Norte County, CA",6015,2022,accidental,Synthetic opioids,12,27082,44.31,37,136.62
"Del Norte County, CA",6015,2022,accidental,Psychostimulants,11,27082,40.62,37,136.62
"Del Norte County, CA",6015,2022,accidental,Unspecified,14,27082,51.69,37,136.62
"Del Norte County, CA",6015,2023,accidental,Unspecified,10,26589,37.61,40,150.44
"Del Norte County, CA",6015,2023,accidental,Synthetic opioids,10,26589,37.61,40,150.44
"Del Norte County, CA",6015,2023,accidental,Psychostimulants,10,26589,37.61,40,150.44
"Del Norte County, CA",6015,2023,accidental,Unspecified,10,26589,37.61,40,150.44
"El Dorado County, CA",6017,2018,accidental,Unspecified,24,190678,12.59,24,12.59
"El Dorado County, CA",6017,2019,accidental,Unspecified,16,192843,8.3,16,8.3
"El Dorado County, CA",6017,2020,accidental,Unspecified,10,192925,5.18,51,26.44
"El Dorado County, CA",6017,2020,accidental,Other opiods,10,192925,5.18,51,26.44
"El Dorado County, CA",6017,2020,accidental,Psychostimulants,12,192925,6.22,51,26.44
"El Dorado County, CA",6017,2020,accidental,Unspecified,19,192925,9.85,51,26.44
"El Dorado County, CA",6017,2021,accidental,Synthetic opioids,10,193221,5.18,93,48.13
"El Dorado County, CA",6017,2021,accidental,Unspecified,10,193221,5.18,93,48.13
"El Dorado County, CA",6017,2021,accidental,Other opiods,13,193221,6.73,93,48.13
"El Dorado County, CA",6017,2021,accidental,Synthetic opioids,18,193221,9.32,93,48.13
"El Dorado County, CA",6017,2021,accidental,Psychostimulants,12,193221,6.21,93,48.13
"El Dorado County, CA",6017,2021,accidental,Unspecified,30,193221,15.53,93,48.13
"El Dorado County, CA",6017,2022,accidental,Synthetic opioids,12,192646,6.23,82,42.57
"El Dorado County, CA",6017,2022,accidental,Unspecified,15,192646,7.79,82,42.57
"El Dorado County, CA",6017,2022,accidental,Synthetic opioids,16,192646,8.31,82,42.57
"El Dorado County, CA",6017,2022,accidental,Psychostimulants,16,192646,8.31,82,42.57
"El Dorado County, CA",6017,2022,accidental,Unspecified,23,192646,11.94,82,42.57
"El Dorado County, CA",6017,2023,accidental,Synthetic opioids,19,192215,9.88,62,32.26
"El Dorado County, CA",6017,2023,accidental,Psychostimulants,17,192215,8.84,62,32.26
"El Dorado County, CA",6017,2023,accidental,Unspecified,26,192215,13.53,62,32.26
"Fresno County, CA",6019,2018,accidental,Psychostimulants,50,994400,5.03,163,16.39
"Fresno County, CA",6019,2018,accidental,Unspecified,56,994400,5.63,163,16.39
"Fresno County, CA",6019,2018,accidental,Other opiods,13,994400,1.31,163,16.39
"Fresno County, CA",6019,2018,accidental,Unspecified,21,994400,2.11,163,16.39
"Fresno County, CA",6019,2018,accidental,Unspecified,23,994400,2.31,163,16.39
"Fresno County, CA",6019,2019,accidental,Psychostimulants,54,999101,5.4,187,18.72
"Fresno County, CA",6019,2019,accidental,Unspecified,60,999101,6.01,187,18.72
"Fresno County, CA",6019,2019,accidental,Unspecified,28,999101,2.8,187,18.72
"Fresno County, CA",6019,2019,accidental,Psychostimulants,13,999101,1.3,187,18.72
"Fresno County, CA",6019,2019,accidental,Unspecified,32,999101,3.2,187,18.72
"Fresno County, CA",6019,2020,accidental,Psychostimulants,72,1000918,7.19,304,30.37
"Fresno County, CA",6019,2020,accidental,Unspecified,76,1000918,7.59,304,30.37
"Fresno County, CA",6019,2020,accidental,Synthetic opioids,27,1000918,2.7,304,30.37
"Fresno County, CA",6019,2020,accidental,Cocaine,13,1000918,1.3,304,30.37
"Fresno County, CA",6019,2020,accidental,Unspecified,47,1000918,4.7,304,30.37
"Fresno County, CA",6019,2020,accidental,Synthetic opioids,15,1000918,1.5,304,30.37
"Fresno County, CA",6019,2020,accidental,Psychostimulants,21,1000918,2.1,304,30.37
"Fresno County, CA",6019,2020,accidental,Unspecified,33,1000918,3.3,304,30.37
"Fresno County, CA",6019,2021,accidental,Psychostimulants,85,1013581,8.39,396,39.07
"Fresno County, CA",6019,2021,accidental,Unspecified,87,1013581,8.58,396,39.07
"Fresno County, CA",6019,2021,accidental,Other opiods,10,1013581,0.99,396,39.07
"Fresno County, CA",6019,2021,accidental,Synthetic opioids,45,1013581,4.44,396,39.07
"Fresno County, CA",6019,2021,accidental,Cocaine,12,1013581,1.18,396,39.07
"Fresno County, CA",6019,2021,accidental,Unspecified,66,1013581,6.51,396,39.07
"Fresno County, CA",6019,2021,accidental,Synthetic opioids,23,1013581,2.27,396,39.07
"Fresno County, CA",6019,2021,accidental,Psychostimulants,29,1013581,2.86,396,39.07
"Fresno County, CA",6019,2021,accidental,Unspecified,39,1013581,3.85,396,39.07
"Fresno County, CA",6019,2022,accidental,Psychostimulants,61,1015190,6.01,456,44.92
"Fresno County, CA",6019,2022,accidental,Unspecified,62,1015190,6.11,456,44.92
"Fresno County, CA",6019,2022,accidental,Other opiods,14,1015190,1.38,456,44.92
"Fresno County, CA",6019,2022,accidental,Synthetic opioids,61,1015190,6.01,456,44.92
"Fresno County, CA",6019,2022,accidental,Cocaine,12,1015190,1.18,456,44.92
"Fresno County, CA",6019,2022,accidental,Unspecified,88,1015190,8.67,456,44.92
"Fresno County, CA",6019,2022,accidental,Synthetic opioids,44,1015190,4.33,456,44.92
"Fresno County, CA",6019,2022,accidental,Sedatives,13,1015190,1.28,456,44.92
"Fresno County, CA",6019,2022,accidental,Psychostimulants,39,1015190,3.84,456,44.92
"Fresno County, CA",6019,2022,accidental,Unspecified,62,1015190,6.11,456,44.92
"Fresno County, CA",6019,2023,accidental,Psychostimulants,80,1017162,7.87,510,50.14
"Fresno County, CA",6019,2023,accidental,Unspecified,80,1017162,7.87,510,50.14
"Fresno County, CA",6019,2023,accidental,Synthetic opioids,42,1017162,4.13,510,50.14
"Fresno County, CA",6019,2023,accidental,Cocaine,18,1017162,1.77,510,50.14
"Fresno County, CA",6019,2023,accidental,Unspecified,67,1017162,6.59,510,50.14
"Fresno County, CA",6019,2023,accidental,Other opiods,13,1017162,1.28,510,50.14
"Fresno County, CA",6019,2023,accidental,Synthetic opioids,61,1017162,6.0,510,50.14
"Fresno County, CA",6019,2023,accidental,Psychostimulants,68,1017162,6.69,510,50.14
"Fresno County, CA",6019,2023,accidental,Unspecified,81,1017162,7.96,510,50.14
"Humboldt County, CA",6023,2018,accidental,Unspecified,12,136373,8.8,12,8.8
"Humboldt County, CA",6023,2019,accidental,Unspecified,10,135558,7.38,24,17.7
"Humboldt County, CA",6023,2019,accidental,Unspecified,14,135558,10.33,24,17.7
"Humboldt County, CA",6023,2020,accidental,Psychostimulants,11,134977,8.15,40,29.63
"Humboldt County, CA",6023,2020,accidental,Unspecified,12,134977,8.89,40,29.63
"Humboldt County, CA",6023,2020,accidental,Unspecified,17,134977,12.59,40,29.63
"Humboldt County, CA",6023,2021,accidental,Other opiods,10,136310,7.34,118,86.57
"Humboldt County, CA",6023,2021,accidental,Synthetic opioids,26,136310,19.07,118,86.57
"Humboldt County, CA",6023,2021,accidental,Psychostimulants,10,136310,7.34,118,86.57
"Humboldt County, CA",6023,2021,accidental,Unspecified,29,136310,21.28,118,86.57
"Humboldt County, CA",6023,2021,accidental,Synthetic opioids,12,136310,8.8,118,86.57
"Humboldt County, CA",6023,2021,accidental,Psychostimulants,12,136310,8.8,118,86.57
"Humboldt County, CA",6023,2021,accidental,Unspecified,19,136310,13.94,118,86.57
"Humboldt County, CA",6023,2022,accidental,Synthetic opioids,37,135010,27.41,173,128.14
"Humboldt County, CA",6023,2022,accidental,Unspecified,42,135010,31.11,173,128.14
"Humboldt County, CA",6023,2022,accidental,Synthetic opioids,31,135010,22.96,173,128.14
"Humboldt County, CA",6023,2022,accidental,Psychostimulants,27,135010,20.0,173,128.14
"Humboldt County, CA",6023,2022,accidental,Unspecified,36,135010,26.66,173,128.14
"Humboldt County, CA",6023,2023,accidental,Synthetic opioids,42,133985,31.35,137,102.25
"Humboldt County, CA",6023,2023,accidental,Unspecified,46,133985,34.33,137,102.25
"Humboldt County, CA",6023,2023,accidental,Synthetic opioids,16,133985,11.94,137,102.25
"Humboldt County, CA",6023,2023,accidental,Psychostimulants,13,133985,9.7,137,102.25
"Humboldt County, CA",6023,2023,accidental,Unspecified,20,133985,14.93,137,102.25
"Imperial County, CA",6025,2018,accidental,Psychostimulants,15,181827,8.25,49,26.95
"Imperial County, CA",6025,2018,accidental,Unspecified,15,181827,8.25,49,26.95
"Imperial County, CA",6025,2018,accidental,Unspecified,19,181827,10.45,49,26.95
"Imperial County, CA",6025,2019,accidental,Unspecified,15,181215,8.28,15,8.28
"Imperial County, CA",6025,2020,accidental,Psychostimulants,28,180267,15.53,121,67.12
"Imperial County, CA",6025,2020,accidental,Unspecified,30,180267,16.64,121,67.12
"Imperial County, CA",6025,2020,accidental,Synthetic opioids,17,180267,9.43,121,67.12
"Imperial County, CA",6025,2020,accidental,Psychostimulants,22,180267,12.2,121,67.12
"Imperial County, CA",6025,2020,accidental,Unspecified,24,180267,13.31,121,67.12
"Imperial County, CA",6025,2021,accidental,Synthetic opioids,12,179851,6.67,38,21.13
"Imperial County, CA",6025,2021,accidental,Psychostimulants,13,179851,7.23,38,21.13
"Imperial County, CA",6025,2021,accidental,Unspecified,13,179851,7.23,38,21.13
"Imperial County, CA",6025,2022,accidental,Unspecified,10,178713,5.6,56,31.34
"Imperial County, CA",6025,2022,accidental,Synthetic opioids,15,178713,8.39,56,31.34
"Imperial County, CA",6025,2022,accidental,Psychostimulants,15,178713,8.39,56,31.34
"Imperial County, CA",6025,2022,accidental,Unspecified,16,178713,8.95,56,31.34
"Imperial County, CA",6025,2023,accidental,Unspecified,10,179057,5.58,10,5.58
"Kern County, CA",6029,2018,accidental,Psychostimulants,92,896764,10.26,446,49.73
"Kern County, CA",6029,2018,accidental,Unspecified,93,896764,10.37,446,49.73
"Kern County, CA",6029,2018,accidental,Other opiods,15,896764,1.67,446,49.73
"Kern County, CA",6029,2018,accidental,Synthetic opioids,19,896764,2.12,446,49.73
"Kern County, CA",6029,2018,accidental,Cocaine,12,896764,1.34,446,49.73
"Kern County, CA",6029,2018,accidental,Unspecified,46,896764,5.13,446,49.73
"Kern County, CA",6029,2018,accidental,Heroin,10,896764,1.12,446,49.73
"Kern County, CA",6029,2018,accidental,Other opiods,27,896764,3.01,446,49.73
"Kern County, CA",6029,2018,accidental,Synthetic opioids,15,896764,1.67,446,49.73
"Kern County, CA",6029,2018,accidental,Psychostimulants,45,896764,5.02,446,49.73
"Kern County, CA",6029,2018,accidental,Unspecified,72,896764,8.03,446,49.73
"Kern County, CA",6029,2019,accidental,Psychostimulants,108,900202,12.0,528,58.65
"Kern County, CA",6029,2019,accidental,Unspecified,110,900202,12.22,528,58.65
"Kern County, CA",6029,2019,accidental,Heroin,13,900202,1.44,528,58.65
"Kern County, CA",6029,2019,accidental,Other opiods,14,900202,1.56,528,58.65
"Kern County, CA",6029,2019,accidental,Synthetic opioids,31,900202,3.44,528,58.65
"Kern County, CA",6029,2019,accidental,Cocaine,11,900202,1.22,528,58.65
"Kern County, CA",6029,2019,accidental,Unspecified,59,900202,6.55,528,58.65
"Kern County, CA",6029,2019,accidental,Heroin,23,900202,2.55,528,58.65
"Kern County, CA",6029,2019,accidental,Other opiods,14,900202,1.56,528,58.65
"Kern County, CA",6029,2019,accidental,Synthetic opioids,20,900202,2.22,528,58.65
"Kern County, CA",6029,2019,accidental,Psychostimulants,50,900202,5.55,528,58.65
"Kern County, CA",6029,2019,accidental,Unspecified,75,900202,8.33,528,58.65
"Kern County, CA",6029,2020,accidental,Psychostimulants,107,901362,11.87,831,92.19
"Kern County, CA",6029,2020,accidental,Unspecified,110,901362,12.2,831,92.19
"Kern County, CA",6029,2020,accidental,Heroin,12,901362,1.33,831,92.19
"Kern County, CA",6029,2020,accidental,Other opiods,17,901362,1.89,831,92.19
"Kern County, CA",6029,2020,accidental,Methadone,12,901362,1.33,831,92.19
