County,County Code,Year,Underlying Cause of death Code,Multiple Cause of death Code,Deaths,Population,Crude Rate,Total Deaths by County and Year,Crude Rate by County and Year
"Kern County, CA",6029,2020,accidental,Synthetic opioids,73,901362,8.1,831,92.19
"Kern County, CA",6029,2020,accidental,Cocaine,13,901362,1.44,831,92.19
"Kern County, CA",6029,2020,accidental,Unspecified,101,901362,11.21,831,92.19
"Kern County, CA",6029,2020,accidental,Heroin,34,901362,3.77,831,92.19
"Kern County, CA",6029,2020,accidental,Other opiods,38,901362,4.22,831,92.19
"Kern County, CA",6029,2020,accidental,Synthetic opioids,64,901362,7.1,831,92.19
"Kern County, CA",6029,2020,accidental,Sedatives,11,901362,1.22,831,92.19
"Kern County, CA",6029,2020,accidental,Psychostimulants,102,901362,11.32,831,92.19
"Kern County, CA",6029,2020,accidental,Unspecified,137,901362,15.2,831,92.19
"Kern County, CA",6029,2021,accidental,Psychostimulants,166,917673,18.09,1153,125.64
"Kern County, CA",6029,2021,accidental,Unspecified,169,917673,18.42,1153,125.64
"Kern County, CA",6029,2021,accidental,Other opiods,20,917673,2.18,1153,125.64
"Kern County, CA",6029,2021,accidental,Synthetic opioids,86,917673,9.37,1153,125.64
"Kern County, CA",6029,2021,accidental,Cocaine,23,917673,2.51,1153,125.64
"Kern County, CA",6029,2021,accidental,Unspecified,110,917673,11.99,1153,125.64
"Kern County, CA",6029,2021,accidental,Heroin,23,917673,2.51,1153,125.64
"Kern County, CA",6029,2021,accidental,Other opiods,41,917673,4.47,1153,125.64
"Kern County, CA",6029,2021,accidental,Synthetic opioids,135,917673,14.71,1153,125.64
"Kern County, CA",6029,2021,accidental,Cocaine,11,917673,1.2,1153,125.64
"Kern County, CA",6029,2021,accidental,Sedatives,12,917673,1.31,1153,125.64
"Kern County, CA",6029,2021,accidental,Psychostimulants,159,917673,17.33,1153,125.64
"Kern County, CA",6029,2021,accidental,Unspecified,198,917673,21.58,1153,125.64
"Kern County, CA",6029,2022,accidental,Psychostimulants,145,916108,15.83,1158,126.4
"Kern County, CA",6029,2022,accidental,Unspecified,149,916108,16.26,1158,126.4
"Kern County, CA",6029,2022,accidental,Other opiods,13,916108,1.42,1158,126.4
"Kern County, CA",6029,2022,accidental,Synthetic opioids,99,916108,10.81,1158,126.4
"Kern County, CA",6029,2022,accidental,Cocaine,22,916108,2.4,1158,126.4
"Kern County, CA",6029,2022,accidental,Unspecified,120,916108,13.1,1158,126.4
"Kern County, CA",6029,2022,accidental,Heroin,10,916108,1.09,1158,126.4
"Kern County, CA",6029,2022,accidental,Other opiods,32,916108,3.49,1158,126.4
"Kern County, CA",6029,2022,accidental,Synthetic opioids,156,916108,17.03,1158,126.4
"Kern County, CA",6029,2022,accidental,Cocaine,14,916108,1.53,1158,126.4
"Kern County, CA",6029,2022,accidental,Sedatives,19,916108,2.07,1158,126.4
"Kern County, CA",6029,2022,accidental,Psychostimulants,171,916108,18.67,1158,126.4
"Kern County, CA",6029,2022,accidental,Unspecified,208,916108,22.7,1158,126.4
"Kern County, CA",6029,2023,accidental,Psychostimulants,115,913820,12.58,1153,126.17
"Kern County, CA",6029,2023,accidental,Unspecified,120,913820,13.13,1153,126.17
"Kern County, CA",6029,2023,accidental,Other opiods,15,913820,1.64,1153,126.17
"Kern County, CA",6029,2023,accidental,Synthetic opioids,116,913820,12.69,1153,126.17
"Kern County, CA",6029,2023,accidental,Cocaine,33,913820,3.61,1153,126.17
"Kern County, CA",6029,2023,accidental,Unspecified,143,913820,15.65,1153,126.17
"Kern County, CA",6029,2023,accidental,Other opiods,18,913820,1.97,1153,126.17
"Kern County, CA",6029,2023,accidental,Synthetic opioids,172,913820,18.82,1153,126.17
"Kern County, CA",6029,2023,accidental,Cocaine,14,913820,1.53,1153,126.17
"Kern County, CA",6029,2023,accidental,Sedatives,10,913820,1.09,1153,126.17
"Kern County, CA",6029,2023,accidental,Psychostimulants,180,913820,19.7,1153,126.17
"Kern County, CA",6029,2023,accidental,Unspecified,217,913820,23.75,1153,126.17
"Kings County, CA",6031,2019,accidental,Psychostimulants,13,152940,8.5,26,17.0
"Kings County, CA",6031,2019,accidental,Unspecified,13,152940,8.5,26,17.0
"Kings County, CA",6031,2021,accidental,Psychostimulants,10,153443,6.52,30,19.55
"Kings County, CA",6031,2021,accidental,Unspecified,10,153443,6.52,30,19.55
"Kings County, CA",6031,2021,accidental,Unspecified,10,153443,6.52,30,19.55
"Kings County, CA",6031,2022,accidental,Unspecified,10,152981,6.54,10,6.54
"Kings County, CA",6031,2023,accidental,Psychostimulants,10,152682,6.55,20,13.1
"Kings County, CA",6031,2023,accidental,Unspecified,10,152682,6.55,20,13.1
"Lake County, CA",6033,2018,accidental,Psychostimulants,17,64382,26.4,62,96.3
"Lake County, CA",6033,2018,accidental,Unspecified,17,64382,26.4,62,96.3
"Lake County, CA",6033,2018,accidental,Other opiods,10,64382,15.53,62,96.3
"Lake County, CA",6033,2018,accidental,Unspecified,18,64382,27.96,62,96.3
"Lake County, CA",6033,2019,accidental,Psychostimulants,18,64386,27.96,72,111.83
"Lake County, CA",6033,2019,accidental,Unspecified,19,64386,29.51,72,111.83
"Lake County, CA",6033,2019,accidental,Psychostimulants,15,64386,23.3,72,111.83
"Lake County, CA",6033,2019,accidental,Unspecified,20,64386,31.06,72,111.83
"Lake County, CA",6033,2020,accidental,Psychostimulants,21,64479,32.57,79,122.52
"Lake County, CA",6033,2020,accidental,Unspecified,22,64479,34.12,79,122.52
"Lake County, CA",6033,2020,accidental,Psychostimulants,17,64479,26.37,79,122.52
"Lake County, CA",6033,2020,accidental,Unspecified,19,64479,29.47,79,122.52
"Lake County, CA",6033,2021,accidental,Psychostimulants,24,68766,34.9,133,193.41
"Lake County, CA",6033,2021,accidental,Unspecified,27,68766,39.26,133,193.41
"Lake County, CA",6033,2021,accidental,Other opiods,10,68766,14.54,133,193.41
"Lake County, CA",6033,2021,accidental,Synthetic opioids,20,68766,29.08,133,193.41
"Lake County, CA",6033,2021,accidental,Psychostimulants,21,68766,30.54,133,193.41
"Lake County, CA",6033,2021,accidental,Unspecified,31,68766,45.08,133,193.41
"Lake County, CA",6033,2022,accidental,Psychostimulants,16,68191,23.46,120,175.98
"Lake County, CA",6033,2022,accidental,Unspecified,18,68191,26.4,120,175.98
"Lake County, CA",6033,2022,accidental,Other opiods,16,68191,23.46,120,175.98
"Lake County, CA",6033,2022,accidental,Synthetic opioids,19,68191,27.86,120,175.98
"Lake County, CA",6033,2022,accidental,Psychostimulants,18,68191,26.4,120,175.98
