"CAINC1 County personal income summary: personal income, population, per capita personal income"
"CAINC1 County personal income summary: personal income, population, per capita personal income"
County
GeoFIPS,GeoName,LineCode,Description,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
06025,"Imperial, CA",1,Personal income (thousands of dollars),5087461,5484146,5541036,5743731,5990271,6439648,6323414,6428926,6353010,6768896,8348474,8705994,8345166,8712870,9470869
06025,"Imperial, CA",2,Population (persons) 1,174685,175635,176314,176052,177459,178297,179400,180693,180428,179727,179730,179206,179767,180585,181724
06025,"Imperial, CA",3,Per capita personal income (dollars) 2,29124,31225,31427,32625,33756,36118,35248,35579,35211,37662,46450,48581,46422,48248,52117
06027,"Inyo, CA",1,Personal income (thousands of dollars),786335,807016,840983,854034,907544,947306,1011375,1041240,1024203,1089054,1135777,1158004,1124081,1257334,1345078
06027,"Inyo, CA",2,Population (persons) 1,18527,18505,18560,18659,18688,18601,18497,18515,18685,18881,18999,18920,18745,18548,18485
06027,"Inyo, CA",3,Per capita personal income (dollars) 2,42443,43611,45312,45771,48563,50928,54678,56238,54814,57680,59781,61205,59967,67788,72766
06029,"Kern, CA",1,Personal income (thousands of dollars),25809681,27307412,28877595,29679549,31577551,32173940,32048150,32666174,33813117,35612628,40423694,42880516,41543441,43497072,46717492
06029,"Kern, CA",2,Population (persons) 1,841561,849631,856159,865279,873174,880669,886002,893009,900095,906160,906124,912782,917293,916646,922529
06029,"Kern, CA",3,Per capita personal income (dollars) 2,30669,32140,33729,34301,36164,36534,36172,36580,37566,39301,44612,46978,45289,47452,50641
06031,"Kings, CA",1,Personal income (thousands of dollars),4013295,4447898,4318502,4452325,4899529,4906911,5097044,5290349,5296250,5554037,6340628,6709291,6613040,6796223,7392211
06031,"Kings, CA",2,Population (persons) 1,152335,151740,150814,150135,149239,149795,149073,149314,150962,152437,152797,152724,152776,153281,154913
06031,"Kings, CA",3,Per capita personal income (dollars) 2,26345,29313,28635,29655,32830,32758,34192,35431,35083,36435,41497,43931,43286,44338,47718
06033,"Lake, CA",1,Personal income (thousands of dollars),2014781,2034252,2072300,2119199,2241684,2366677,2422965,2547917,2625869,2726268,2998383,3224235,3123439,3282773,3564760
06033,"Lake, CA",2,Population (persons) 1,64827,64713,64785,64994,65602,66176,66187,66770,67396,67829,68200,68623,68239,67934,67764
06033,"Lake, CA",3,Per capita personal income (dollars) 2,31079,31435,31987,32606,34171,35763,36608,38160,38962,40193,43965,46985,45772,48323,52606
06035,"Lassen, CA",1,Personal income (thousands of dollars),962390,976210,962323,940872,967576,1015521,1046637,1056481,1072008,1084294,1228249,1301988,1248927,1261957,1383512
06035,"Lassen, CA",2,Population (persons) 1,34891,34552,34193,32953,32744,32589,32302,32760,32753,33043,32319,31884,30401,28838,28340
06035,"Lassen, CA",3,Per capita personal income (dollars) 2,27583,28253,28144,28552,29550,31161,32402,32249,32730,32815,38004,40835,41082,43760,48818
06037,"Los Angeles, CA",1,Personal income (thousands of dollars),420356279,448886977,477907190,475453288,503099674,535960148,554158129,573348398,595765931,629245755,678659849,721712800,728349845,766331882,818509319
06037,"Los Angeles, CA",2,Population (persons) 1,9822769,9879322,9941529,10001824,10052585,10100900,10123015,10125014,10098683,10053252,9996634,9809239,9748447,9731837,9757179
06037,"Los Angeles, CA",3,Per capita personal income (dollars) 2,42794,45437,48072,47537,50047,53061,54742,56627,58994,62591,67889,73575,74714,78745,83888
06039,"Madera, CA",1,Personal income (thousands of dollars),4245578,4446463,4674829,4840670,5167474,5246433,5497117,5687523,5815299,6074666,6896835,7624891,7371293,7691441,8474319
06039,"Madera, CA",2,Population (persons) 1,150972,151517,151216,150857,152783,152739,152851,154100,155260,155469,156434,159019,160414,163402,165432
06039,"Madera, CA",3,Per capita personal income (dollars) 2,28122,29346,30915,32088,33822,34349,35964,36908,37455,39073,44088,47950,45952,47071,51225
06041,"Marin, CA",1,Personal income (thousands of dollars),21062194,22828237,24416303,24806255,26755509,28764641,29825203,31324429,33770671,35941360,38007035,42948119,43330639,46196076,48944339
06041,"Marin, CA",2,Population (persons) 1,253015,255926,257071,259862,262261,263269,263455,263145,263698,263129,261341,259254,257143,255706,256400
06041,"Marin, CA",3,Per capita personal income (dollars) 2,83245,89199,94979,95459,102019,109260,113208,119039,128066,136592,145431,165660,168508,180661,190891
06043,"Mariposa, CA",1,Personal income (thousands of dollars),663308,668438,674319,683099,723456,770497,819746,855857,884466,919521,980104,1036750,1047585,1118071,1207938
06043,"Mariposa, CA",2,Population (persons) 1,18301,18193,17901,17825,17725,17628,17468,17426,17322,17073,17133,17136,17095,16996,17048
06043,"Mariposa, CA",3,Per capita personal income (dollars) 2,36244,36741,37669,38323,40816,43709,46928,49114,51060,53858,57206,60501,61280,65784,70855
06045,"Mendocino, CA",1,Personal income (thousands of dollars),3328567,3312742,3295336,3361037,3583511,3745679,3847743,4000436,4155689,4314307,4782184,5158878,4996532,5172576,5567917
06045,"Mendocino, CA",2,Population (persons) 1,87926,87989,88471,88772,89473,89880,90592,91487,91870,91775,91362,91303,90027,89354,89175
06045,"Mendocino, CA",3,Per capita personal income (dollars) 2,37856,37650,37248,37861,40051,41674,42473,43727,45234,47010,52343,56503,55500,57889,62438
06047,"Merced, CA",1,Personal income (thousands of dollars),7185521,7738146,7902641,8269597,9079656,9400054,9575058,9919653,10148451,10728033,12456741,13654549,13543535,13776747,15278285
06047,"Merced, CA",2,Population (persons) 1,256765,259532,261286,262625,265204,267322,268786,272480,275602,279209,282963,284834,292034,294402,296774
06047,"Merced, CA",3,Per capita personal income (dollars) 2,27985,29816,30245,31488,34236,35164,35623,36405,36823,38423,44023,47939,46377,46796,51481
06049,"Modoc, CA",1,Personal income (thousands of dollars),340213,345372,338857,343230,367448,382445,383518,380517,381904,407960,470393,483931,511854,519789,580383
06049,"Modoc, CA",2,Population (persons) 1,9696,9501,9336,9123,9037,9015,8898,8795,8738,8778,8677,8640,8625,8566,8491
06049,"Modoc, CA",3,Per capita personal income (dollars) 2,35088,36351,36296,37622,40660,42423,43102,43265,43706,46475,54211,56011,59345,60680,68353
06051,"Mono, CA",1,Personal income (thousands of dollars),576424,586890,565771,561458,579553,590257,608931,683435,663504,727151,800644,842765,867358,916969,974797
06051,"Mono, CA",2,Population (persons) 1,14223,14260,14033,13638,13573,13386,13436,13382,13318,13237,13225,13263,13055,13207,12991
06051,"Mono, CA",3,Per capita personal income (dollars) 2,40528,41156,40317,41169,42699,44095,45321,51071,49820,54933,60540,63543,66439,69431,75036
