fips2010,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4,state,countyname
610799999,629,633,842,1194,1396,6,Tulare County
610999999,654,746,957,1315,1496,6,Tuolumne County
611199999,1109,1308,1739,2455,2938,6,Ventura County
611399999,848,905,1203,1706,2119,6,Yolo County
611599999,674,678,887,1290,1562,6,Yuba County
600199999,1409,1706,2126,2925,3587,6,Alameda County
600399999,657,734,965,1378,1551,6,Alpine County
600599999,814,819,1084,1567,1789,6,Amador County
600799999,808,894,1144,1654,1921,6,Butte County
600999999,633,799,930,1345,1634,6,Calaveras County
601199999,608,736,893,1291,1569,6,Colusa County
601399999,1409,1706,2126,2925,3587,6,Contra Costa County
601599999,643,749,945,1312,1516,6,Del Norte County
601799999,853,968,1220,1764,2143,6,El Dorado County
601999999,668,769,956,1364,1584,6,Fresno County
602199999,569,632,836,1047,1130,6,Glenn County
602399999,665,765,998,1443,1660,6,Humboldt County
602599999,612,733,953,1247,1657,6,Imperial County
602799999,772,776,929,1251,1256,6,Inyo County
602999999,700,711,926,1334,1587,6,Kern County
603199999,778,811,987,1427,1559,6,Kings County
603399999,617,735,960,1388,1517,6,Lake County
603599999,577,641,848,1226,1356,6,Lassen County
603799999,1158,1384,1791,2401,2641,6,Los Angeles County
603999999,766,771,1020,1450,1609,6,Madera County
604199999,2069,2561,3170,4153,4392,6,Marin County
604399999,662,736,973,1337,1709,6,Mariposa County
604599999,742,815,1078,1527,1735,6,Mendocino County
604799999,579,680,839,1213,1465,6,Merced County
604999999,476,529,700,1012,1125,6,Modoc County
605199999,803,945,1250,1606,2009,6,Mono County
605399999,1089,1240,1540,2219,2378,6,Monterey County
605599999,1095,1289,1705,2465,2685,6,Napa County
605799999,778,916,1211,1751,1978,6,Nevada County
605999999,1415,1632,2037,2862,3304,6,Orange County
606199999,853,968,1220,1764,2143,6,Placer County
606399999,612,744,899,1181,1327,6,Plumas County
606599999,826,986,1232,1717,2132,6,Riverside County
606799999,853,968,1220,1764,2143,6,Sacramento County
606999999,1314,1323,1750,2530,3074,6,San Benito County
607199999,826,986,1232,1717,2132,6,San Bernardino County
607399999,1422,1590,2068,2962,3632,6,San Diego County
607599999,2069,2561,3170,4153,4392,6,San Francisco County
607799999,702,826,1092,1579,1918,6,San Joaquin County
