County Code,County,LineCode,Description,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
06017,"El Dorado, CA",2.0,Population (persons),181113.0,180727.0,180188.0,180915.0,182354.0,183635.0,184846.0,187423.0,189366.0,191309.0,191250.0,193724.0,193071.0,192440.0,192823.0
06017,"El Dorado, CA",3.0,Per capita personal income (dollars),48230.0,50368.0,52427.0,53847.0,56231.0,58842.0,62104.0,63355.0,66059.0,69023.0,74018.0,79498.0,79990.0,84850.0,89554.0
06019,"Fresno, CA",1.0,Personal income (dollars),29066562000.0,30713635000.0,31502991000.0,32824378000.0,35044607000.0,37251040000.0,38323050000.0,39208890000.0,40504743000.0,42845932000.0,48784407000.0,52726887000.0,51990282000.0,54448091000.0,58972823000.0
06019,"Fresno, CA",2.0,Population (persons),932202.0,940206.0,946501.0,953630.0,963323.0,972906.0,981015.0,990274.0,997611.0,1004925.0,1009613.0,1012879.0,1017107.0,1019899.0,1024125.0
06019,"Fresno, CA",3.0,Per capita personal income (dollars),31181.0,32667.0,33284.0,34420.0,36379.0,38288.0,39065.0,39594.0,40602.0,42636.0,48320.0,52056.0,51116.0,53386.0,57584.0
06021,"Glenn, CA",1.0,Personal income (dollars),903645000.0,960396000.0,977473000.0,1060368000.0,1022151000.0,1090813000.0,1129760000.0,1143898000.0,1206997000.0,1249518000.0,1435156000.0,1505763000.0,1477598000.0,1552265000.0,1650270000.0
06021,"Glenn, CA",2.0,Population (persons),28139.0,28203.0,27966.0,27971.0,28047.0,28025.0,28156.0,28294.0,28374.0,28977.0,28889.0,28714.0,28371.0,28190.0,28304.0
06021,"Glenn, CA",3.0,Per capita personal income (dollars),32114.0,34053.0,34952.0,37910.0,36444.0,38923.0,40125.0,40429.0,42539.0,43121.0,49678.0,52440.0,52081.0,55064.0,58305.0
06023,"Humboldt, CA",1.0,Personal income (dollars),4792688000.0,4860509000.0,4880568000.0,4954797000.0,5177816000.0,5515128000.0,5709430000.0,5894662000.0,6029582000.0,6266157000.0,6835069000.0,7297188000.0,7272378000.0,7526646000.0,8211600000.0
06023,"Humboldt, CA",2.0,Population (persons),135039.0,135405.0,134864.0,134832.0,135060.0,135800.0,137219.0,137570.0,137481.0,136936.0,136324.0,134978.0,135013.0,134009.0,132380.0
06023,"Humboldt, CA",3.0,Per capita personal income (dollars),35491.0,35896.0,36189.0,36748.0,38337.0,40612.0,41608.0,42848.0,43858.0,45760.0,50138.0,54062.0,53864.0,56165.0,62031.0
06025,"Imperial, CA",1.0,Personal income (dollars),5087461000.0,5484146000.0,5541036000.0,5743731000.0,5990271000.0,6439648000.0,6323414000.0,6428926000.0,6353010000.0,6768896000.0,8348474000.0,8705994000.0,8345166000.0,8712870000.0,9470869000.0
06025,"Imperial, CA",2.0,Population (persons),174685.0,175635.0,176314.0,176052.0,177459.0,178297.0,179400.0,180693.0,180428.0,179727.0,179730.0,179206.0,179767.0,180585.0,181724.0
06025,"Imperial, CA",3.0,Per capita personal income (dollars),29124.0,31225.0,31427.0,32625.0,33756.0,36118.0,35248.0,35579.0,35211.0,37662.0,46450.0,48581.0,46422.0,48248.0,52117.0
06027,"Inyo, CA",1.0,Personal income (dollars),786335000.0,807016000.0,840983000.0,854034000.0,907544000.0,947306000.0,1011375000.0,1041240000.0,1024203000.0,1089054000.0,1135777000.0,1158004000.0,1124081000.0,1257334000.0,1345078000.0
06027,"Inyo, CA",2.0,Population (persons),18527.0,18505.0,18560.0,18659.0,18688.0,18601.0,18497.0,18515.0,18685.0,18881.0,18999.0,18920.0,18745.0,18548.0,18485.0
06027,"Inyo, CA",3.0,Per capita personal income (dollars),42443.0,43611.0,45312.0,45771.0,48563.0,50928.0,54678.0,56238.0,54814.0,57680.0,59781.0,61205.0,59967.0,67788.0,72766.0
06029,"Kern, CA",1.0,Personal income (dollars),25809681000.0,27307412000.0,28877595000.0,29679549000.0,31577551000.0,32173940000.0,32048150000.0,32666174000.0,33813117000.0,35612628000.0,40423694000.0,42880516000.0,41543441000.0,43497072000.0,46717492000.0
06029,"Kern, CA",2.0,Population (persons),841561.0,849631.0,856159.0,865279.0,873174.0,880669.0,886002.0,893009.0,900095.0,906160.0,906124.0,912782.0,917293.0,916646.0,922529.0
06029,"Kern, CA",3.0,Per capita personal income (dollars),30669.0,32140.0,33729.0,34301.0,36164.0,36534.0,36172.0,36580.0,37566.0,39301.0,44612.0,46978.0,45289.0,47452.0,50641.0
06031,"Kings, CA",1.0,Personal income (dollars),4013295000.0,4447898000.0,4318502000.0,4452325000.0,4899529000.0,4906911000.0,5097044000.0,5290349000.0,5296250000.0,5554037000.0,6340628000.0,6709291000.0,6613040000.0,6796223000.0,7392211000.0
06031,"Kings, CA",2.0,Population (persons),152335.0,151740.0,150814.0,150135.0,149239.0,149795.0,149073.0,149314.0,150962.0,152437.0,152797.0,152724.0,152776.0,153281.0,154913.0
06031,"Kings, CA",3.0,Per capita personal income (dollars),26345.0,29313.0,28635.0,29655.0,32830.0,32758.0,34192.0,35431.0,35083.0,36435.0,41497.0,43931.0,43286.0,44338.0,47718.0
06033,"Lake, CA",1.0,Personal income (dollars),2014781000.0,2034252000.0,2072300000.0,2119199000.0,2241684000.0,2366677000.0,2422965000.0,2547917000.0,2625869000.0,2726268000.0,2998383000.0,3224235000.0,3123439000.0,3282773000.0,3564760000.0
06033,"Lake, CA",2.0,Population (persons),64827.0,64713.0,64785.0,64994.0,65602.0,66176.0,66187.0,66770.0,67396.0,67829.0,68200.0,68623.0,68239.0,67934.0,67764.0
06033,"Lake, CA",3.0,Per capita personal income (dollars),31079.0,31435.0,31987.0,32606.0,34171.0,35763.0,36608.0,38160.0,38962.0,40193.0,43965.0,46985.0,45772.0,48323.0,52606.0
06035,"Lassen, CA",1.0,Personal income (dollars),962390000.0,976210000.0,962323000.0,940872000.0,967576000.0,1015521000.0,1046637000.0,1056481000.0,1072008000.0,1084294000.0,1228249000.0,1301988000.0,1248927000.0,1261957000.0,1383512000.0
06035,"Lassen, CA",2.0,Population (persons),34891.0,34552.0,34193.0,32953.0,32744.0,32589.0,32302.0,32760.0,32753.0,33043.0,32319.0,31884.0,30401.0,28838.0,28340.0
06035,"Lassen, CA",3.0,Per capita personal income (dollars),27583.0,28253.0,28144.0,28552.0,29550.0,31161.0,32402.0,32249.0,32730.0,32815.0,38004.0,40835.0,41082.0,43760.0,48818.0
06037,"Los Angeles, CA",1.0,Personal income (dollars),420356279000.0,448886977000.0,477907190000.0,475453288000.0,503099674000.0,535960148000.0,554158129000.0,573348398000.0,595765931000.0,629245755000.0,678659849000.0,721712800000.0,728349845000.0,766331882000.0,818509319000.0
06037,"Los Angeles, CA",2.0,Population (persons),9822769.0,9879322.0,9941529.0,10001824.0,10052585.0,10100900.0,10123015.0,10125014.0,10098683.0,10053252.0,9996634.0,9809239.0,9748447.0,9731837.0,9757179.0
06037,"Los Angeles, CA",3.0,Per capita personal income (dollars),42794.0,45437.0,48072.0,47537.0,50047.0,53061.0,54742.0,56627.0,58994.0,62591.0,67889.0,73575.0,74714.0,78745.0,83888.0
